t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-1.341662E-15,-2.751845E-21,-6.607959E-13
1.000000E-13,-2.683324E-15,-7.338248E-21,-1.321591E-12
2.000000E-13,-4.024986E-15,-1.437072E-20,-1.982384E-12
3.000000E-13,-5.366647E-15,-2.405311E-20,-2.643175E-12
4.000000E-13,-6.708309E-15,-3.645333E-20,-3.303965E-12
1.778325E-12,-2.520077E-14,-4.875976E-19,-1.241162E-11
1.302020E-11,-1.760285E-13,-2.368349E-17,-8.668412E-11
7.328689E-11,-9.845990E-13,-7.404098E-16,-4.845789E-10
3.043542E-10,-4.084660E-12,-1.271763E-14,-2.006618E-09
9.831522E-10,-1.319100E-11,-1.319483E-13,-6.447460E-09
2.603030E-09,-3.491844E-11,-9.137080E-13,-1.685754E-08
5.865331E-09,-7.865709E-11,-4.527992E-12,-3.698109E-08
1.061533E-08,-1.422905E-10,-1.433204E-11,-6.417860E-08
1.536533E-08,-2.058562E-10,-2.906062E-11,-8.879986E-08
2.011533E-08,-2.693487E-10,-4.819298E-11,-1.107769E-07
2.486533E-08,-3.327654E-10,-7.119088E-11,-1.300502E-07
2.961533E-08,-3.961055E-10,-9.751143E-11,-1.465571E-07
3.436533E-08,-4.593696E-10,-1.266095E-10,-1.602266E-07
3.911533E-08,-5.225589E-10,-1.579381E-10,-1.709931E-07
4.386533E-08,-5.856745E-10,-1.909532E-10,-1.788384E-07
4.861533E-08,-6.487171E-10,-2.251291E-10,-1.838664E-07
5.336533E-08,-7.116870E-10,-2.599864E-10,-1.863825E-07
5.811533E-08,-7.745844E-10,-2.951286E-10,-1.869287E-07
6.286533E-08,-8.374092E-10,-3.302749E-10,-1.862290E-07
6.761533E-08,-9.001615E-10,-3.652744E-10,-1.850404E-07
7.236533E-08,-9.628413E-10,-4.000916E-10,-1.839666E-07
7.711533E-08,-1.025449E-09,-4.347675E-10,-1.833279E-07
8.186533E-08,-1.087985E-09,-4.693713E-10,-1.831493E-07
8.661533E-08,-1.150450E-09,-5.039610E-10,-1.832651E-07
9.136533E-08,-1.212843E-09,-5.385664E-10,-1.834666E-07
9.611533E-08,-1.275166E-09,-5.731905E-10,-1.836132E-07
1.008653E-07,-1.337418E-09,-6.078230E-10,-1.836653E-07
1.056153E-07,-1.399600E-09,-6.424529E-10,-1.836522E-07
1.103653E-07,-1.461711E-09,-6.770740E-10,-1.836202E-07
1.151153E-07,-1.523753E-09,-7.116856E-10,-1.835985E-07
1.198653E-07,-1.585725E-09,-7.462896E-10,-1.835931E-07
1.246153E-07,-1.647628E-09,-7.808876E-10,-1.835970E-07
1.293653E-07,-1.709461E-09,-8.154804E-10,-1.836021E-07
1.341153E-07,-1.771225E-09,-8.500679E-10,-1.836048E-07
1.388653E-07,-1.832921E-09,-8.846499E-10,-1.836054E-07
1.436153E-07,-1.894548E-09,-9.192262E-10,-1.836052E-07
1.483653E-07,-1.956107E-09,-9.537969E-10,-1.836052E-07
1.531153E-07,-2.017598E-09,-9.883619E-10,-1.836056E-07
1.578653E-07,-2.079022E-09,-1.022921E-09,-1.836061E-07
1.626153E-07,-2.140377E-09,-1.057476E-09,-1.836067E-07
1.673653E-07,-2.201666E-09,-1.092024E-09,-1.836072E-07
1.721153E-07,-2.262887E-09,-1.126567E-09,-1.836076E-07
1.768653E-07,-2.324042E-09,-1.161105E-09,-1.836081E-07
1.816153E-07,-2.385129E-09,-1.195637E-09,-1.836086E-07
1.863653E-07,-2.446151E-09,-1.230164E-09,-1.836090E-07
1.911153E-07,-2.507106E-09,-1.264686E-09,-1.836095E-07
1.958653E-07,-2.567995E-09,-1.299202E-09,-1.836100E-07
2.006153E-07,-2.628818E-09,-1.333713E-09,-1.836105E-07
2.053653E-07,-2.689576E-09,-1.368218E-09,-1.836109E-07
2.101153E-07,-2.750269E-09,-1.402719E-09,-1.836114E-07
2.148653E-07,-2.810896E-09,-1.437213E-09,-1.836119E-07
2.196153E-07,-2.871459E-09,-1.471703E-09,-1.836124E-07
2.243653E-07,-2.931956E-09,-1.506187E-09,-1.836128E-07
2.291153E-07,-2.992390E-09,-1.540666E-09,-1.836133E-07
2.338653E-07,-3.052759E-09,-1.575139E-09,-1.836138E-07
2.386153E-07,-3.113063E-09,-1.609607E-09,-1.836143E-07
2.433653E-07,-3.173304E-09,-1.644069E-09,-1.836147E-07
2.481153E-07,-3.233482E-09,-1.678526E-09,-1.836152E-07
2.528653E-07,-3.293596E-09,-1.712978E-09,-1.836157E-07
2.576153E-07,-3.353646E-09,-1.747424E-09,-1.836162E-07
2.623653E-07,-3.413634E-09,-1.781864E-09,-1.836166E-07
2.671153E-07,-3.473558E-09,-1.816299E-09,-1.836171E-07
2.718653E-07,-3.533420E-09,-1.850729E-09,-1.836176E-07
2.766153E-07,-3.593220E-09,-1.885152E-09,-1.836180E-07
2.813653E-07,-3.652957E-09,-1.919570E-09,-1.836185E-07
2.861153E-07,-3.712632E-09,-1.953983E-09,-1.836190E-07
2.908653E-07,-3.772245E-09,-1.988390E-09,-1.836195E-07
2.956153E-07,-3.831796E-09,-2.022791E-09,-1.836199E-07
3.003653E-07,-3.891286E-09,-2.057186E-09,-1.836204E-07
3.051153E-07,-3.950715E-09,-2.091576E-09,-1.836209E-07
3.098653E-07,-4.010082E-09,-2.125960E-09,-1.836214E-07
3.146153E-07,-4.069389E-09,-2.160339E-09,-1.836218E-07
