t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,2.591821E-16,5.311909E-22,1.275425E-13
1.000000E-13,5.183641E-16,1.416506E-21,2.550839E-13
2.000000E-13,7.775462E-16,2.773984E-21,3.826240E-13
3.000000E-13,1.036728E-15,4.642966E-21,5.101626E-13
4.000000E-13,1.295910E-15,7.036562E-21,6.376995E-13
1.778147E-12,4.867819E-15,9.409835E-20,2.395188E-12
1.301729E-11,3.399767E-14,4.567438E-18,1.671750E-11
7.325901E-11,1.901333E-13,1.424454E-16,9.319469E-11
3.040950E-10,7.884178E-13,2.426161E-15,3.820363E-10
9.806800E-10,2.541996E-12,2.459339E-14,1.193102E-09
2.583260E-09,6.695536E-12,1.618525E-13,2.931144E-09
5.793683E-09,1.501609E-11,7.432143E-13,5.804086E-09
1.054368E-08,2.732640E-11,2.197787E-12,8.964490E-09
1.529368E-08,3.963619E-11,4.196675E-12,1.118026E-08
2.004368E-08,5.194546E-11,6.595246E-12,1.272324E-08
2.479368E-08,6.425419E-11,9.279620E-12,1.378407E-08
2.954368E-08,7.656236E-11,1.216319E-11,1.449589E-08
3.429368E-08,8.886996E-11,1.518088E-11,1.495387E-08
3.904368E-08,1.011770E-10,1.828411E-11,1.522811E-08
4.379368E-08,1.134834E-10,2.143723E-11,1.537198E-08
4.854368E-08,1.257893E-10,2.461478E-11,1.542750E-08
5.329368E-08,1.380945E-10,2.779976E-11,1.542850E-08
5.804368E-08,1.503991E-10,3.098200E-11,1.540200E-08
6.279368E-08,1.627031E-10,3.415683E-11,1.536823E-08
6.754368E-08,1.750065E-10,3.732341E-11,1.534013E-08
7.229368E-08,1.873093E-10,4.048318E-11,1.532337E-08
7.704368E-08,1.996114E-10,4.363831E-11,1.531765E-08
8.179368E-08,2.119129E-10,4.679068E-11,1.531916E-08
8.654368E-08,2.242138E-10,4.994134E-11,1.532333E-08
9.129368E-08,2.365141E-10,5.309057E-11,1.532690E-08
9.604368E-08,2.488137E-10,5.623818E-11,1.532862E-08
1.007937E-07,2.611127E-10,5.938386E-11,1.532876E-08
1.055437E-07,2.734110E-10,6.252740E-11,1.532820E-08
1.102937E-07,2.857087E-10,6.566873E-11,1.532765E-08
1.150437E-07,2.980058E-10,6.880788E-11,1.532740E-08
1.197937E-07,3.103022E-10,7.194488E-11,1.532738E-08
1.245437E-07,3.225980E-10,7.507978E-11,1.532745E-08
1.292937E-07,3.348932E-10,7.821258E-11,1.532751E-08
1.340437E-07,3.471877E-10,8.134328E-11,1.532752E-08
1.387937E-07,3.594816E-10,8.447188E-11,1.532750E-08
1.435437E-07,3.717749E-10,8.759837E-11,1.532748E-08
1.482937E-07,3.840675E-10,9.072277E-11,1.532747E-08
1.530437E-07,3.963595E-10,9.384507E-11,1.532746E-08
1.577937E-07,4.086508E-10,9.696528E-11,1.532745E-08
1.625437E-07,4.209415E-10,1.000834E-10,1.532744E-08
1.672937E-07,4.332316E-10,1.031994E-10,1.532744E-08
1.720437E-07,4.455211E-10,1.063134E-10,1.532743E-08
1.767937E-07,4.578099E-10,1.094253E-10,1.532742E-08
